scenario_id,policy,capacity_pct,capacity_bytes,global_hits,global_misses,global_hit_ratio,system_interference,interference_returns,cross_tenant_evictions,num_tenants,wall_time_seconds
E1,no_partition,5,212050815,841928,5951110,0.123940,0.266696,1580040,5924503,4333,18.437
E10,fairshare,15,636152447,1299714,5493324,0.191330,0.000000,0,0,4321,8.752
E11,fairshare,20,848203263,1558679,5234359,0.229452,0.000000,0,0,4321,8.889
E12,fairshare,25,1060254079,1750020,5043018,0.257620,0.000000,0,0,4321,9.005
E13,fairshare,30,1272304895,1825811,4967227,0.268777,0.000000,0,0,4321,9.326
E14,fairshare,50,2120508159,1956410,4836628,0.288002,0.000000,0,0,4321,9.889
E15,memshare,5,212050815,706290,6086748,0.103973,0.280951,1675395,5963306,4336,36.958
E16,memshare,10,424101631,980703,5812335,0.144369,0.263862,1500724,5687525,4330,37.216
E17,memshare,15,636152447,1222451,5570587,0.179956,0.249874,1360811,5445998,4324,36.968
E18,memshare,20,848203263,1452651,5340387,0.213844,0.234929,1224240,5211112,4322,35.791
E19,memshare,25,1060254079,1658045,5134993,0.244080,0.215854,1044543,4839128,4321,34.756
E2,no_partition,10,424101631,1156167,5636871,0.170199,0.242667,1362400,5614272,4344,15.460
E20,memshare,30,1272304895,1844721,4948317,0.271561,0.195735,861462,4401172,4321,31.911
E21,memshare,50,2120508159,2361957,4431081,0.347703,0.123093,353843,2874598,4321,26.006
E3,no_partition,15,636152447,1439273,5353765,0.211875,0.219032,1167402,5329816,4362,15.731
E4,no_partition,20,848203263,1660338,5132700,0.244418,0.201847,1030485,5105266,4387,15.319
E5,no_partition,25,1060254079,1855886,4937152,0.273204,0.182327,865248,4745579,4394,15.661
E6,no_partition,30,1272304895,2013055,4779983,0.296341,0.163825,708616,4325441,4394,14.347
E7,no_partition,50,2120508159,2429077,4363961,0.357583,0.102382,294019,2871777,4394,12.383
E8,fairshare,5,212050815,641296,6151742,0.094405,0.000000,0,0,4321,8.610
E9,fairshare,10,424101631,978855,5814183,0.144097,0.000000,0,0,4321,8.495
